Known Locations,Number Correct,Average Distance to True Location,Runtime (Seconds),Standard Deviation of Average Distances
0,Random,0.6,14.2815,0.0008,0.5016
0,Greedy,0.0,11.971,0.0324,0.0
0,Partitioning-Based,1.2333,14.0688,403.6501,5.1748
0,Graph Drawing,0.9,14.9034,0.2661,4.4204
3,Random,4.0667,14.029,0.0008,0.4557
3,Greedy,5.4333,11.1201,0.0102,3.3937
3,Partitioning-Based,5.1,12.9973,400.4093,6.1565
3,Graph Drawing,4.8,12.1459,0.2648,4.8716
24,Random,25.0333,12.8345,0.0009,0.5159
24,Greedy,26.7333,10.5143,0.0101,2.693
24,Partitioning-Based,27.7333,8.7394,414.2682,5.6241
24,Graph Drawing,25.1333,12.6441,0.2635,2.9283
72,Random,72.8333,9.9931,0.0009,0.4199
72,Greedy,74.3667,7.5181,0.0113,1.734
72,Partitioning-Based,74.8,8.0971,402.9873,3.7353
72,Graph Drawing,73.3333,8.3542,0.2476,1.3505
121,Random,122.0,7.0541,0.001,0.4822
121,Greedy,123.6,5.8137,0.0105,1.7397
121,Partitioning-Based,122.6667,6.378,417.6914,2.0634
121,Graph Drawing,122.9,5.5236,0.2367,0.8885
169,Random,170.0333,4.3409,0.001,0.3587
169,Greedy,172.0333,3.3329,0.009,1.1096
169,Partitioning-Based,170.3333,4.0672,391.0564,1.0173
169,Graph Drawing,170.8667,3.1458,0.2289,0.4035
